timestamp,action,price,vwap,dev_bps,position,equity,mode
2026-08-27 19:18:30,HOLD,768.3,768.35,-0.59,0,,PAPER
2026-08-27 19:19:19,HOLD,767.96,768.35,-5.03,0,,PAPER
2026-08-27 19:20:22,HOLD,768.23,768.34,-1.34,0,,PAPER
2026-08-27 19:21:25,HOLD,768.73,768.33,5.24,0,,PAPER
2026-08-27 19:22:29,HOLD,768.96,768.35,7.83,0,,PAPER
2026-08-27 19:23:33,HOLD,769.19,768.37,10.66,0,,PAPER
2026-08-27 19:24:36,HOLD,769.16,768.41,9.8,0,,PAPER
2026-08-27 19:25:40,HOLD,768.56,768.41,1.89,0,,PAPER
2026-08-27 19:26:44,HOLD,768.71,768.41,3.86,0,,PAPER
2026-08-27 19:27:48,HOLD,768.0,768.42,-5.41,0,,PAPER
2026-08-27 19:28:52,HOLD,768.05,768.4,-4.58,0,,PAPER
2026-08-27 19:29:56,HOLD,768.35,768.37,-0.24,0,,PAPER
2026-08-27 19:31:05,HOLD,768.47,768.36,1.4,0,,PAPER
2026-08-27 19:32:08,HOLD,768.58,768.4,2.29,0,,PAPER
2026-08-27 19:34:07,HOLD,768.94,768.42,6.71,0,,PAPER
2026-08-27 19:35:11,HOLD,768.85,768.42,5.65,0,,PAPER
2026-08-27 19:36:15,HOLD,768.92,768.41,6.67,0,,PAPER
2026-08-27 19:37:19,BUY,768.28,768.41,-1.8,0,,PAPER
2026-08-27 19:38:23,SELL,768.48,768.39,1.19,1,,PAPER
2026-08-27 19:39:27,HOLD,768.42,768.41,0.07,0,,PAPER
2026-08-27 19:40:31,HOLD,768.71,768.42,3.8,0,,PAPER
2026-08-27 19:41:35,HOLD,768.83,768.43,5.26,0,,PAPER
2026-08-27 19:42:39,HOLD,768.7,768.44,3.41,0,,PAPER
2026-08-27 19:44:15,HOLD,768.94,768.44,6.53,0,,PAPER
2026-08-27 19:45:19,HOLD,768.86,768.44,5.47,0,,PAPER
2026-08-27 19:47:34,HOLD,768.95,768.44,6.6,0,,PAPER
2026-08-27 19:48:06,HOLD,769.11,768.45,8.6,0,,PAPER
2026-08-27 19:48:19,HOLD,769.07,768.45,8.08,0,,PAPER
2026-08-27 19:48:33,HOLD,769.2,768.45,9.77,0,,PAPER
2026-08-27 19:48:47,HOLD,769.31,768.45,11.2,0,,PAPER
2026-08-27 19:49:01,HOLD,769.32,768.45,11.27,0,,PAPER
2026-08-27 19:49:14,HOLD,769.24,768.46,10.18,0,,PAPER
2026-08-27 19:49:28,HOLD,769.24,768.46,10.18,0,,PAPER
2026-08-27 19:49:42,HOLD,769.3,768.46,10.96,0,,PAPER
2026-08-27 19:49:56,HOLD,769.09,768.46,8.23,0,,PAPER
2026-08-27 19:50:09,HOLD,769.25,768.48,10.07,0,,PAPER
2026-08-27 19:50:23,HOLD,769.29,768.48,10.66,0,,PAPER
2026-08-27 19:50:37,HOLD,769.22,768.48,9.75,0,,PAPER
2026-08-27 19:50:51,HOLD,769.32,768.48,10.98,0,,PAPER
2026-08-27 19:51:05,HOLD,769.46,768.48,12.69,0,,PAPER
2026-08-27 19:51:18,HOLD,769.43,768.48,12.3,0,,PAPER
2026-08-27 19:51:32,HOLD,769.34,768.48,11.2,0,,PAPER
2026-08-27 19:51:46,HOLD,769.24,768.48,9.83,0,,PAPER
2026-08-27 19:52:00,HOLD,769.22,768.48,9.57,0,,PAPER
2026-08-27 19:52:14,HOLD,769.27,768.49,10.09,0,,PAPER
2026-08-27 19:52:27,HOLD,769.21,768.49,9.38,0,,PAPER
2026-08-27 19:52:41,HOLD,769.17,768.49,8.86,0,,PAPER
2026-08-27 19:52:55,HOLD,769.15,768.49,8.6,0,,PAPER
2026-08-27 19:53:09,HOLD,769.24,768.5,9.66,0,,PAPER
2026-08-27 19:53:22,HOLD,769.38,768.5,11.42,0,,PAPER
2026-08-27 19:53:37,HOLD,769.52,768.5,13.31,0,,PAPER
2026-08-27 19:53:50,HOLD,769.4,768.5,11.75,0,,PAPER
2026-08-27 19:54:04,HOLD,769.2,768.5,9.15,0,,PAPER
2026-08-27 19:54:18,HOLD,769.27,768.51,9.89,0,,PAPER
2026-08-27 19:54:32,HOLD,769.22,768.51,9.29,0,,PAPER
2026-08-27 19:54:45,HOLD,769.17,768.51,8.64,0,,PAPER
2026-08-27 19:54:59,HOLD,769.43,768.51,12.09,0,,PAPER
2026-08-27 19:55:13,HOLD,769.31,768.51,10.44,0,,PAPER
2026-08-27 19:55:27,HOLD,769.37,768.51,11.22,0,,PAPER
2026-08-27 19:55:40,HOLD,769.37,768.51,11.22,0,,PAPER
2026-08-27 19:55:54,HOLD,769.38,768.51,11.35,0,,PAPER
2026-08-27 19:56:08,HOLD,769.45,768.51,12.12,0,,PAPER
2026-08-27 19:56:22,HOLD,769.4,768.51,11.53,0,,PAPER
